DATE,RCA_H,RCA_V,BASELINE
2018-10-20T00:00:04Z,-1.5523271114953092,-1.7299988788540688,0
2018-10-20T00:15:03Z,-1.5662064467508756,-1.9643065030068882,0
2018-10-20T00:30:03Z,-1.4675395645011091,-1.959917022045936,0
2018-10-20T00:45:03Z,-1.6824712845291003,-2.237833866158539,0
2018-10-20T01:00:03Z,-1.3693201890069844,-2.084543879090837,0
2018-10-20T01:15:03Z,-1.2635377257352405,-1.9221741576420683,0
2018-10-20T01:30:04Z,-1.343496553410553,-1.9989202065892464,0
2018-10-20T01:45:03Z,-1.269070956311772,-1.7819751991744468,0
2018-10-20T02:00:04Z,-1.3844274640525356,-2.605659235349002,0
2018-10-20T02:15:03Z,-1.485723287234073,-2.8426917279741417,0
2018-10-20T02:30:04Z,-1.3966504992543562,-2.503013972100142,0
2018-10-20T02:45:03Z,-1.528209433482978,-2.6672772888282665,0
2018-10-20T03:00:03Z,-1.5642637752222512,-2.834782957266988,0
2018-10-20T03:15:03Z,-1.544158427735141,-2.5672841225684238,0
2018-10-20T03:30:03Z,-1.3503039428554118,-1.9489428864791665,0
2018-10-20T03:45:03Z,-1.7291609191616075,-2.0803472412750565,0
2018-10-20T04:00:03Z,-1.636008981624414,-1.763981407791583,0
2018-10-20T04:15:04Z,-1.6660767457677608,-1.9169970229502555,0
2018-10-20T04:30:04Z,-1.7795742141181776,-2.423038721971204,0
2018-10-20T04:45:04Z,-1.7895659708412026,-2.5917455418533493,0
2018-10-20T05:00:04Z,-1.807683556013224,-2.557892958373856,0
2018-10-20T05:15:04Z,-1.4960474917050917,-2.58759372296079,0
2018-10-20T05:30:04Z,-1.7554744152120565,-2.3661368602187522,0
2018-10-20T05:45:04Z,-1.5618865637932158,-2.25468522140244,0
2018-10-20T06:00:04Z,-1.839567979847459,-2.0240173106320967,0
2018-10-20T06:15:04Z,-1.4499897732483118,-1.8146770923974809,0
2018-10-20T06:30:04Z,-1.4664402610364249,-2.54275981410978,0
2018-10-20T06:45:04Z,-1.7993057337283602,-2.333498344909593,0
2018-10-20T07:00:04Z,-1.4442757798667645,-2.32310313659886,0
2018-10-20T07:15:04Z,-1.8575979518866392,-2.3676425268545174,0
2018-10-20T07:30:04Z,-1.30651241793597,-2.242395825773841,0
2018-10-20T07:45:04Z,-1.5533295049765738,-2.1488029961834267,0
2018-10-20T08:00:04Z,-1.53969588455287,-2.0358002709199,0
2018-10-20T08:15:04Z,-1.8675059912660927,-2.5023794636864447,0
2018-10-20T08:30:04Z,-1.6796503116078156,-2.4514350181176425,0
2018-10-20T08:45:04Z,-1.5591691389835844,-2.0418136712170067,0
2018-10-20T09:00:04Z,-1.8850202929922448,-2.092638772238466,0
2018-10-20T09:15:04Z,-1.805325609064191,-2.8802023482234134,0
2018-10-20T09:30:04Z,-1.6593788651276211,-2.4522676541681747,0
2018-10-20T09:45:04Z,-1.5127236733059846,-2.6319487271337394,0
2018-10-20T10:00:04Z,-1.3433371899471425,-2.7461591209880893,0
2018-10-20T10:15:04Z,-1.9494540152523072,-2.651580815877729,0
2018-10-20T10:30:04Z,-2.67898859545479,-3.057176532883865,0
2018-10-20T10:45:04Z,-2.8558358883782944,-2.0622414124999366,0
2018-10-20T11:00:03Z,-2.8585922487653974,-2.1543010907321687,0
2018-10-20T11:15:04Z,-2.415093752499168,-2.280129550365708,0
2018-10-20T11:30:03Z,-2.3008557635780136,-2.7137711866185645,0
2018-10-20T11:45:03Z,-2.0111172736202505,-1.9659726897789085,0
2018-10-20T12:00:03Z,-2.294983883826013,-2.371101106815594,0
2018-10-20T12:15:03Z,-2.2692674720133748,-2.4474566274181555,0
2018-10-20T12:30:03Z,-2.3344285471273376,-2.338219628849238,0
2018-10-20T12:45:03Z,-2.2375465357167807,-2.156314233432191,0
2018-10-20T13:00:03Z,-2.216650841081595,-2.4252025609144496,0
2018-10-20T13:15:03Z,-2.3333303978314106,-2.7346271168313123,0
2018-10-20T13:30:03Z,-2.49821992568716,-2.0375779835564103,0
2018-10-20T13:45:03Z,-2.285875994507556,-2.1880780402554483,0
2018-10-20T14:00:03Z,-2.3999268711973016,-2.6413907255642286,0
2018-10-20T14:15:03Z,-2.2784660276716338,-1.763155478697179,0
2018-10-20T14:30:03Z,-2.6695904365637446,-1.5438460389305888,0
2018-10-20T14:45:04Z,-2.3208598634464934,-2.020468663093702,0
2018-10-20T15:00:04Z,-2.0876266867105144,-2.114065908522882,0
2018-10-20T15:15:04Z,-2.176418655003019,-1.1946578772357626,0
2018-10-20T15:30:04Z,-2.210160436195082,-2.1802071326381807,0
2018-10-20T15:45:04Z,-2.2643050526929613,-1.765766237900941,0
2018-10-20T16:00:04Z,-2.580995431181485,-2.128244293247313,0
2018-10-20T16:15:04Z,-2.2279717468832634,-2.1527474314609734,0
2018-10-20T16:30:04Z,-2.5213061346935035,-2.3322073742997493,0
2018-10-20T16:45:04Z,-2.1198059928278568,-2.5685316471317705,0
2018-10-20T17:00:04Z,-2.4596904346967605,-2.30196068767588,0
2018-10-20T17:15:04Z,-2.8553132899738785,-1.950361725765923,0
2018-10-20T17:30:04Z,-2.7378873213547124,-2.4090464320683864,0
2018-10-20T17:45:04Z,-2.9609022033924868,-2.3664050009798387,0
2018-10-20T18:00:04Z,-2.199005101510629,-2.504920652164799,0
2018-10-20T18:15:04Z,-2.2112230165243574,-2.3299087363158506,0
2018-10-20T18:30:04Z,-2.475590231568482,-2.6645475530429863,0
2018-10-20T18:45:04Z,-2.168927910269879,-2.1269489744312224,0
2018-10-20T19:00:04Z,-1.915321197325632,-2.0377906787662,0
2018-10-20T19:15:04Z,-2.43855309283132,-2.120621772355179,0
2018-10-20T19:30:04Z,-1.7857070435635831,-1.950216061590844,0
2018-10-20T19:45:04Z,-2.0009355149213515,-2.340049927561189,0
2018-10-20T20:00:04Z,-2.2384760289966716,-2.2622317722249434,0
2018-10-20T20:15:04Z,-1.9150002445968608,-2.437815932496968,0
2018-10-20T20:30:04Z,-2.5523091035125205,-2.6370487322304608,0
2018-10-20T20:45:04Z,-2.3647261403266384,-2.060398510552204,0
2018-10-20T21:00:04Z,-2.045060822111552,-2.275323384767668,0
2018-10-20T21:15:03Z,-2.0673872412725487,-2.2431735049909705,0
2018-10-20T21:30:04Z,-1.8899996501367795,-2.168817334818108,0
2018-10-20T21:45:03Z,-2.3986964135676416,-2.2020529412970973,0
2018-10-20T22:00:04Z,-2.385800826067552,-2.557910472554888,0
2018-10-20T22:15:04Z,-1.8567348017034035,-2.8646455268071236,0
2018-10-20T22:30:03Z,-2.370151768460381,-2.2670788354797864,0
2018-10-20T22:45:03Z,-2.1968354447612413,-2.352249199768941,0
2018-10-20T23:00:04Z,-2.196752150276197,-2.0165787456036384,0
2018-10-20T23:15:04Z,-2.282290672068811,-2.3104932409512955,0
2018-10-20T23:30:03Z,-2.0257403210527443,-2.0479696093595194,0
2018-10-20T23:45:04Z,-2.4595692259603297,-2.198172360746611,0